"optimizer","learning_rate","lr_decay","loss_function","batch_size","epochs","verbose","hidden_units","input_dim","dummy_val","model_name","run_id","dense_units","dense_dropout","lstm_units","channels","kernel_regularizer","initializer","conv_units","conv_activation","kernel_size","pool_size","conv_dropout","lstm_activation","lstm_dropout","pool_strides","dilation_rate","test_loss","test_acc","min_train_loss","max_train_acc","min_val_loss","max_val_acc"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-43-31-CNNLSTM","[512]","0.4","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.5783436012268066","0.3600000023841858","0.8879647180400919","0.6452416540320738","1.3358082828407516","0.3832335331125887"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-45-05-CNNLSTM","[1024]","0.0","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","2.0927297115325927","0.3000000047683716","1.030763629959422","0.5710014947089141","1.4439452796163197","0.3932135730327485"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-46-52-CNNLSTM","[1024]","0.2","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.4628499794006349","0.4000000011920929","0.8888119111681199","0.6532137518239128","1.3703287766127292","0.4091816370239753"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-49-20-CNNLSTM","[1024]","0.4","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.5806861925125122","0.4000000035762787","0.7927630373240111","0.6995515692097427","1.3377239030754258","0.39920159698484425"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-51-15-CNNLSTM","[512]","0.0","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.319017186164856","0.4400000011920929","1.1371762833906516","0.5102142501988101","1.3555327606296348","0.3952095817900941"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-53-38-CNNLSTM","[512]","0.2","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.2529179668426509","0.4400000011920929","1.145499116369427","0.502242152406971","1.3352054443188055","0.39920159698484425"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-56-27-CNNLSTM","[512]","0.4","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.317306261062622","0.4400000047683716","1.1414658271915947","0.5186846037082073","1.3172518474137236","0.3892215571836559"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-58-46-CNNLSTM","[1024]","0.0","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.67982901096344","0.26000000059604644","1.1134674218856822","0.5236671647445801","1.3863460644038614","0.34930139738404586"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-01-27-CNNLSTM","[1024]","0.2","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.4965801811218262","0.2800000035762787","1.1137892760384658","0.5221723965673111","1.3521582958940974","0.3592814381964906"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_22-04-55-CNNLSTM","[1024]","0.4","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3509431409835817","0.38000000357627867","1.208210929923825","0.4753363227214633","1.3413661646985722","0.3812375252475282"
